k_folds,classifier,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
38,MLPClassifier,0.6489652262444343,0.18916539486742914,0.5663253413253413,0.18315664114639832,0.31822429278958897,0.032482077319031556
38,RandomForestClassifier,0.6180218308161521,0.2633335961622765,0.5281801531801531,0.1775070715478885,0.18875532905229575,0.007175629589503865
38,SVC,0.5696529983475095,0.28681501283122385,0.47963702963702964,0.18714156520225148,0.01097420949985175,0.0005516129583249383
39,KNeighborsClassifier (k=3),0.41569588447416506,0.23908257422617185,0.45889475108225103,0.16725091437004233,0.001150311665603509,0.00010993432892742427
39,MLPClassifier,0.6492394169273018,0.2138359771453136,0.5706612253487253,0.1751811023271458,0.30432743320535594,0.03451008961509772
39,RandomForestClassifier,0.6159007964973745,0.267265127601937,0.5542748917748918,0.16097807923172192,0.18510162930723686,0.0037807333839192762
39,SVC,0.5838563137156487,0.28878200827851047,0.49717787999037993,0.18455140933003916,0.010811928617514264,0.0005168030615849011
40,KNeighborsClassifier (k=3),0.43884092827107535,0.23007926895116723,0.48889710716633794,0.1536180578491707,0.0012210037257318618,0.0002500709853482233
40,MLPClassifier,0.6556009849652044,0.19119371867432455,0.5606108101300409,0.1669351714695117,0.30082905752533406,0.03143321433370141
40,RandomForestClassifier,0.6319226172703857,0.26356132400969484,0.5095361903054211,0.19290435781697854,0.1865305602990702,0.0035774896473659066
40,SVC,0.5887069176216677,0.29341619696945176,0.496983678714448,0.2017567279093137,0.010876071699749445,0.0006263384952567871
41,KNeighborsClassifier (k=3),0.42883748005038497,0.2470729922448426,0.4490587937703322,0.174103826719446,0.001128725439917705,9.767665054189771e-05
41,MLPClassifier,0.6430069077072615,0.20879733857699154,0.5650897179743334,0.16161010022661837,0.3184776116352778,0.03261195810326558
41,RandomForestClassifier,0.6326416034867095,0.2631283822732142,0.5028130523322831,0.1754412755161759,0.18727762134221848,0.004037615329012391
41,SVC,0.6050497283613642,0.28340187464456845,0.5045118343195266,0.1990393158608076,0.010837638829110713,0.0003997421589348417
42,KNeighborsClassifier (k=3),0.43837304530858273,0.24779304290524048,0.4776098367444522,0.15609389224034212,0.0011774329524043771,0.00015968720556797512
